country, dateJoined, enlargement
Belgium, 24 August 1949, Founder
Canada, 24 August 1949, Founder
Denmark, 24 August 1949, Founder
France, 24 August 1949, Founder
Iceland, 24 August 1949, Founder
Italy, 24 August 1949, Founder
Luxembourg, 24 August 1949, Founder
Netherlands, 24 August 1949, Founder
Norway, 24 August 1949, Founder
Portugal, 24 August 1949, Founder
United Kingdom, 24 August 1949, Founder
United States, 24 August 1949, Founder
Greece, 18 February 1952, First
Turkey, 18 February 1952, First
Germany, 6 May 1955, Second
Spain, 30 May 1982, Third
Czech Republic, 12 March 1999, Fourth
Hungary, 12 March 1999, Fourth
Poland, 12 March 1999, Fourth
Bulgaria, 29 March 2004, Fifth
Estonia, 29 March 2004, Fifth
Latvia, 29 March 2004, Fifth
Lithuania, 29 March 2004, Fifth
Romania, 29 March 2004, Fifth
Slovakia, 29 March 2004, Fifth
Slovenia, 29 March 2004, Fifth
Albania, 1 April 2009, Sixth
Croatia, 1 April 2009, Sixth
Montenegro, 5 June 2017, Seventh
